id,period_from,period_to,type,price
1,2023-8-31,2023-12-31,Daily,10
2,2023-8-31,2023-12-31,Hourly,2
3,2023-8-31,2023-12-31,SemesterSmall,50
4,2023-8-31,2023-12-31,SemesterMedium,55
5,2023-8-31,2023-12-31,SemesterLarge,60
6,2023-8-31,2024-8-31,YearlySmall,100
7,2023-8-31,2024-8-31,YearlyMedium,110
8,2023-8-31,2024-8-31,YearlyLarge,120
9,2023-8-31,2024-8-31,KeyReplacement,30
